"cluster_method","k","ARI","CHI","BIC","PED","Runtime_seconds","scenario","sim_method","seed"
"GBMT",5,0.304494005943513,293.784987721212,8564.72897908116,NA,114.274102926254,"SCE2","LME-F",1
"KML3D",2,0.300950527937112,564.725281690562,NA,NA,0.172049522399902,"SCE2","LME-F",1
"KML3D",3,0.322322469110578,531.626964871589,NA,NA,0.211347818374634,"SCE2","LME-F",1
"KML3D",4,0.272371076012932,502.776649726303,NA,NA,0.2547767162323,"SCE2","LME-F",1
"KML3D",5,0.224607246253875,483.469085813614,NA,NA,0.326754570007324,"SCE2","LME-F",1
"flexmix",2,0.510003847307434,456.555038543226,19291.4642361559,NA,0.136669158935547,"SCE2","LME-F",1
"flexmix",3,0.273529970328872,382.972771948752,14295.6570106309,NA,0.433897256851196,"SCE2","LME-F",1
"flexmix",4,0.28394977651769,434.688564376263,11207.6465282679,NA,0.371392250061035,"SCE2","LME-F",1
"flexmix",5,0.28394977651769,434.688564376263,11207.6470405337,NA,0.330433368682861,"SCE2","LME-F",1
"LCMM",2,0.121228093292924,424.682324436134,13274.0786262073,NA,14.1662411689758,"SCE2","LME-F",1
"LCMM",3,0.179248080661636,468.248672875154,13286.0615553074,NA,52.1513090133667,"SCE2","LME-F",1
"LCMM",4,0.196631739970592,480.075307295137,13298.0444845844,NA,69.17813372612,"SCE2","LME-F",1
"LCMM",5,0.192210358873009,476.027649325329,13310.0274134909,NA,370.799931764603,"SCE2","LME-F",1
"GBMT",2,0.279128716274274,136.633382358729,282602.600753303,NA,42.8404564857483,"SCE3","LME-F",1
"GBMT",3,0.241696800026706,73.8903984486377,272082.608966994,NA,68.1097748279572,"SCE3","LME-F",1
"GBMT",4,0.206161285727448,57.0771349612062,266425.698267212,NA,147.708321094513,"SCE3","LME-F",1
"GBMT",5,0.219683312925617,53.6642085287391,260629.648121788,NA,193.879781007767,"SCE3","LME-F",1
"KML3D",2,0.0153205643136862,34.172202616337,NA,NA,0.430219411849976,"SCE3","LME-F",1
"KML3D",3,0.175208010639268,75.0765318615085,NA,NA,0.49539589881897,"SCE3","LME-F",1
"KML3D",4,0.149150094535212,71.7081100465604,NA,NA,0.64897608757019,"SCE3","LME-F",1
"KML3D",5,0.241623211414651,52.194405541229,NA,NA,0.728676319122314,"SCE3","LME-F",1
"flexmix",2,0.329089851647388,133.895380464012,288018.137999453,NA,0.532449245452881,"SCE3","LME-F",1
"flexmix",3,0.206357421573572,97.024247716685,279268.078537058,NA,1.00426745414734,"SCE3","LME-F",1
"flexmix",4,0.2176204904517,88.9935090026019,275642.400591417,NA,1.42459297180176,"SCE3","LME-F",1
"flexmix",5,0.188361317753495,69.7687700094095,274085.731146849,NA,1.73649501800537,"SCE3","LME-F",1
"GBMT",2,0.352401987914448,218.270239625667,20489.5138386254,NA,29.6701531410217,"SCE2","LME-S",1
"GBMT",3,0.270965642003454,194.066381147526,18681.4766671719,NA,44.8966176509857,"SCE2","LME-S",1
"GBMT",4,0.182167415546408,146.817286770316,17864.3717285128,NA,184.223232984543,"SCE2","LME-S",1
"GBMT",5,0.245021833838641,120.250057662513,17134.2849429153,NA,188.945874214172,"SCE2","LME-S",1
"KML3D",2,0.205445898399206,282.673144055367,NA,NA,0.163454055786133,"SCE2","LME-S",1
"KML3D",3,0.232694188159448,231.001463870134,NA,NA,0.197210550308228,"SCE2","LME-S",1
"KML3D",4,0.23517094626525,186.193841557141,NA,NA,0.246369361877441,"SCE2","LME-S",1
"KML3D",5,0.216606456890299,155.654456463248,NA,NA,0.295751571655273,"SCE2","LME-S",1
"flexmix",2,0.352405242159258,230.719085823831,23026.7740353875,NA,0.162205457687378,"SCE2","LME-S",1
"flexmix",3,0.276695970087643,200.93058341599,20381.7349725548,NA,0.220336198806763,"SCE2","LME-S",1
